User 283,??People Men's T-Shirt??  *Offer Price-249* Link? http://clnk.in/eOgO  *Hurry Up!!*????????,?+919xxxxx514,04/10/17, 11:06 AM 
User 569,??People Men's T-Shirt??  *Offer Price-249* Link? http://amzn.to/2pjDbIF  *Hurry Up!!*????????,?+917xxxxx071,04/10/17, 11:08 AM 
User 317,Or kitna add hoga,?+918xxxxx096,04/10/17, 11:13 AM 
User 569,??Wildcraft Quest Rucksack Bag at *Flat 59% Off* for *Rs.1215* [MRP Rs.2999]   http://zngy.in/2j2,?+917xxxxx071,04/10/17, 11:21 AM 
User 283,??Wildcraft Quest Rucksack Bag at *Flat 59% Off* for *Rs.1215* [MRP Rs.2999]   http://fkrt.it/kJfDlTuuuN,?+919xxxxx514,04/10/17, 11:22 AM 
User 569,??Wildcraft Quest Rucksack Bag at *Flat 59% Off* for *Rs.1215* [MRP Rs.2999]   http://zngy.in/2j2,?+917xxxxx071,04/10/17, 11:22 AM 
User 865,Become a bigbasketeer like me & get Rs.100 cashback on your first order if you sign up using my referral code bigbw79p or just click this link to order http://r.bigbasket.com/bigbw79p-1nq/3 and avail your referral reward.,?+918xxxxx334,04/10/17, 11:25 AM 
User 404,*??Loot :- Weibo Wireless Optical Mouse Flat 80% Off*  *Master Link:-* http://amzn.to/2oQstgM  *Hurry up & Buy now limited stock available!!????*,?+919xxxxx556,04/10/17, 11:32 AM 
User 569,*??Loot :- Weibo Wireless Optical Mouse Flat 80% Off*  *Master Link:-* http://amzn.to/2oQyppM  *Hurry up & Buy now limited stock available!!????*,?+917xxxxx071,04/10/17, 11:38 AM 
User 404,*??Loot :- Weibo Wireless Optical Mouse Flat 80% Off*  *Master Link:-* http://amzn.to/2oQstgM  *Hurry up & Buy now limited stock available!!????*,?+919xxxxx556,04/10/17, 11:40 AM 
User 404,"*??Loot :- Mee Mee Caring Baby Wet Wipes with Lemon Fragrance - 72 pcs (Pack of 3) Flat 60% Off*  *At Rs 175 Only* [MRP - 387]  http://amzn.to/2pjIO9H  *Price Showing Rs.195* *Open Link & Click Collect 5% Off Coupon* Now, Select *""Subscribe & Save""* and Click *Subscribe Now* Done, Ordered Baby Wipes for *Rs.175*",?+919xxxxx556,04/10/17, 11:51 AM 
User 359,Guyes koi cc shop share kara g Badlma iPhone l Lana Koi carding m 1k invest kar g to ib Only trusted,?+917xxxxx166,04/10/17, 11:58 AM 
User 569,"*??Loot :- Mee Mee Caring Baby Wet Wipes with Lemon Fragrance - 72 pcs (Pack of 3) Flat 60% Off*  *At Rs 175 Only* [MRP - 387]  http://amzn.to/2nSXMmb  *Price Showing Rs.195* *Open Link & Click Collect 5% Off Coupon* Now, Select *""Subscribe & Save""* and Click *Subscribe Now* Done, Ordered Baby Wipes for *Rs.175*",?+917xxxxx071,04/10/17, 11:59 AM 
User 170,?? *Klick 220 optical wired mouse* at *Rs76*  http://amzn.to/2pjP15v  *Other options*  http://amzn.to/2ooDt3W,?+919xxxxx662,04/10/17, 12:32 PM 
User 359,OK,?+917xxxxx166,04/10/17, 12:34 PM 
User 569,"??Grandos Classical, 50g??  *Deal Price-182*  Link? http://amzn.to/2ooQWsz",?+917xxxxx071,04/10/17, 12:46 PM 
User 170,*Amazon Pantry loot*for Bangalore  70% off :- http://amzn.to/2pjF8EX,?+919xxxxx662,04/10/17, 1:06 PM 
User 170,??Loot :- Men's Watches Rs.62   http://amzn.to/2oh8nKQ,?+919xxxxx662,04/10/17, 1:28 PM 
User 689,"??Loot :- Men's Watches Rs.62 *With Amazon fulfillment* http://amzn.to/2nTcjxZ  ? *Join Our Broadcast By Type ""Send Deals"" On This Contact 8218889004* ? *Then You Will Get All Latest Deals And Offers On Your WhatsApp*",?+918xxxxx900,04/10/17, 1:31 PM 
User 244,To earn from Amazon and Flipkart on every purchase u do  it's a legal site just signup and get 5 ?? free. if want to know more call me in WhatsApp i will explain    https://www.beeone.co.uk/refer/110835,?+919xxxxx452,04/10/17, 1:39 PM 
User 569,??Loot :- Men's Watches Rs.62    http://amzn.to/2oW2ioB,?+917xxxxx071,04/10/17, 1:39 PM 
